    1    2 -1.000000000000000E+00 -1.000000000000000E+00
    2    3 -1.000000000000000E+00 -1.000000000000000E+00
    3    4 -1.000000000000000E+00 -1.000000000000000E+00
    4    5 -1.000000000000000E+00 -1.000000000000000E+00
    5    6 -1.000000000000000E+00 -1.000000000000000E+00
    1    6 -1.000000000000000E+00 -1.000000000000000E+00
    7    8 -1.000000000000000E+00 -1.000000000000000E+00
    8    9 -1.000000000000000E+00 -1.000000000000000E+00
    9   10 -1.000000000000000E+00 -1.000000000000000E+00
   10   11 -1.000000000000000E+00 -1.000000000000000E+00
   11   12 -1.000000000000000E+00 -1.000000000000000E+00
    7   12 -1.000000000000000E+00 -1.000000000000000E+00
   13   14 -1.000000000000000E+00 -1.000000000000000E+00
   14   15 -1.000000000000000E+00 -1.000000000000000E+00
   15   16 -1.000000000000000E+00 -1.000000000000000E+00
   16   17 -1.000000000000000E+00 -1.000000000000000E+00
   17   18 -1.000000000000000E+00 -1.000000000000000E+00
   13   18 -1.000000000000000E+00 -1.000000000000000E+00
   19   20 -1.000000000000000E+00 -1.000000000000000E+00
   20   21 -1.000000000000000E+00 -1.000000000000000E+00
   21   22 -1.000000000000000E+00 -1.000000000000000E+00
   22   23 -1.000000000000000E+00 -1.000000000000000E+00
   23   24 -1.000000000000000E+00 -1.000000000000000E+00
   19   24 -1.000000000000000E+00 -1.000000000000000E+00
   25   26 -1.000000000000000E+00 -1.000000000000000E+00
   26   27 -1.000000000000000E+00 -1.000000000000000E+00
   27   28 -1.000000000000000E+00 -1.000000000000000E+00
   28   29 -1.000000000000000E+00 -1.000000000000000E+00
   29   30 -1.000000000000000E+00 -1.000000000000000E+00
   25   30 -1.000000000000000E+00 -1.000000000000000E+00
   31   32 -1.000000000000000E+00 -1.000000000000000E+00
   32   33 -1.000000000000000E+00 -1.000000000000000E+00
   33   34 -1.000000000000000E+00 -1.000000000000000E+00
   34   35 -1.000000000000000E+00 -1.000000000000000E+00
   35   36 -1.000000000000000E+00 -1.000000000000000E+00
   31   36 -1.000000000000000E+00 -1.000000000000000E+00
    1    7 -1.000000000000000E+00 -1.000000000000000E+00
    2    8 -1.000000000000000E+00 -1.000000000000000E+00
    3    9 -1.000000000000000E+00 -1.000000000000000E+00
    4   10 -1.000000000000000E+00 -1.000000000000000E+00
    5   11 -1.000000000000000E+00 -1.000000000000000E+00
    6   12 -1.000000000000000E+00 -1.000000000000000E+00
    7   13 -1.000000000000000E+00 -1.000000000000000E+00
    8   14 -1.000000000000000E+00 -1.000000000000000E+00
    9   15 -1.000000000000000E+00 -1.000000000000000E+00
   10   16 -1.000000000000000E+00 -1.000000000000000E+00
   11   17 -1.000000000000000E+00 -1.000000000000000E+00
   12   18 -1.000000000000000E+00 -1.000000000000000E+00
   13   19 -1.000000000000000E+00 -1.000000000000000E+00
   14   20 -1.000000000000000E+00 -1.000000000000000E+00
   15   21 -1.000000000000000E+00 -1.000000000000000E+00
   16   22 -1.000000000000000E+00 -1.000000000000000E+00
   17   23 -1.000000000000000E+00 -1.000000000000000E+00
   18   24 -1.000000000000000E+00 -1.000000000000000E+00
   19   25 -1.000000000000000E+00 -1.000000000000000E+00
   20   26 -1.000000000000000E+00 -1.000000000000000E+00
   21   27 -1.000000000000000E+00 -1.000000000000000E+00
   22   28 -1.000000000000000E+00 -1.000000000000000E+00
   23   29 -1.000000000000000E+00 -1.000000000000000E+00
   24   30 -1.000000000000000E+00 -1.000000000000000E+00
   25   31 -1.000000000000000E+00 -1.000000000000000E+00
   26   32 -1.000000000000000E+00 -1.000000000000000E+00
   27   33 -1.000000000000000E+00 -1.000000000000000E+00
   28   34 -1.000000000000000E+00 -1.000000000000000E+00
   29   35 -1.000000000000000E+00 -1.000000000000000E+00
   30   36 -1.000000000000000E+00 -1.000000000000000E+00
    1   31 -1.000000000000000E+00 -1.000000000000000E+00
    2   32 -1.000000000000000E+00 -1.000000000000000E+00
    3   33 -1.000000000000000E+00 -1.000000000000000E+00
    4   34 -1.000000000000000E+00 -1.000000000000000E+00
    5   35 -1.000000000000000E+00 -1.000000000000000E+00
    6   36 -1.000000000000000E+00 -1.000000000000000E+00
