1	2	1.0d0	1.0d0
1	7	1.0d0	1.0d0
1	31	1.0d0	1.0d0
1	32	1.0d0	1.0d0
1	6	1.0d0	1.0d0
1	12	1.0d0	1.0d0
2	3	1.0d0	1.0d0
2	7	1.0d0	1.0d0
2	8	1.0d0	1.0d0
2	32	1.0d0	1.0d0
2	33	1.0d0	1.0d0
3	4	1.0d0	1.0d0
3	8	1.0d0	1.0d0
3	9	1.0d0	1.0d0
3	33	1.0d0	1.0d0
3	34	1.0d0	1.0d0
4	5	1.0d0	1.0d0
4	9	1.0d0	1.0d0
4	10	1.0d0	1.0d0
4	34	1.0d0	1.0d0
4	35	1.0d0	1.0d0
5	6	1.0d0	1.0d0
5	10	1.0d0	1.0d0
5	11	1.0d0	1.0d0
5	35	1.0d0	1.0d0
5	36	1.0d0	1.0d0
6	11	1.0d0	1.0d0
6	12	1.0d0	1.0d0
6	31	1.0d0	1.0d0
6	36	1.0d0	1.0d0
7	8	1.0d0	1.0d0
7	13	1.0d0	1.0d0
7	12	1.0d0	1.0d0
7	18	1.0d0	1.0d0
8	9	1.0d0	1.0d0
8	13	1.0d0	1.0d0
8	14	1.0d0	1.0d0
9	10	1.0d0	1.0d0
9	14	1.0d0	1.0d0
9	15	1.0d0	1.0d0
10	11	1.0d0	1.0d0
10	15	1.0d0	1.0d0
10	16	1.0d0	1.0d0
11	12	1.0d0	1.0d0
11	16	1.0d0	1.0d0
11	17	1.0d0	1.0d0
12	17	1.0d0	1.0d0
12	18	1.0d0	1.0d0
13	14	1.0d0	1.0d0
13	19	1.0d0	1.0d0
13	18	1.0d0	1.0d0
13	24	1.0d0	1.0d0
14	15	1.0d0	1.0d0
14	19	1.0d0	1.0d0
14	20	1.0d0	1.0d0
15	16	1.0d0	1.0d0
15	20	1.0d0	1.0d0
15	21	1.0d0	1.0d0
16	17	1.0d0	1.0d0
16	21	1.0d0	1.0d0
16	22	1.0d0	1.0d0
17	18	1.0d0	1.0d0
17	22	1.0d0	1.0d0
17	23	1.0d0	1.0d0
18	23	1.0d0	1.0d0
18	24	1.0d0	1.0d0
19	20	1.0d0	1.0d0
19	25	1.0d0	1.0d0
19	24	1.0d0	1.0d0
19	30	1.0d0	1.0d0
20	21	1.0d0	1.0d0
20	25	1.0d0	1.0d0
20	26	1.0d0	1.0d0
21	22	1.0d0	1.0d0
21	26	1.0d0	1.0d0
21	27	1.0d0	1.0d0
22	23	1.0d0	1.0d0
22	27	1.0d0	1.0d0
22	28	1.0d0	1.0d0
23	24	1.0d0	1.0d0
23	28	1.0d0	1.0d0
23	29	1.0d0	1.0d0
24	29	1.0d0	1.0d0
24	30	1.0d0	1.0d0
25	26	1.0d0	1.0d0
25	31	1.0d0	1.0d0
25	30	1.0d0	1.0d0
25	36	1.0d0	1.0d0
26	27	1.0d0	1.0d0
26	31	1.0d0	1.0d0
26	32	1.0d0	1.0d0
27	28	1.0d0	1.0d0
27	32	1.0d0	1.0d0
27	33	1.0d0	1.0d0
28	29	1.0d0	1.0d0
28	33	1.0d0	1.0d0
28	34	1.0d0	1.0d0
29	30	1.0d0	1.0d0
29	34	1.0d0	1.0d0
29	35	1.0d0	1.0d0
30	35	1.0d0	1.0d0
30	36	1.0d0	1.0d0
31	32	1.0d0	1.0d0
31	36	1.0d0	1.0d0
32	33	1.0d0	1.0d0
33	34	1.0d0	1.0d0
34	35	1.0d0	1.0d0
35	36	1.0d0	1.0d0
